# Reading pref.tcl
# //  Questa Sim-64
# //  Version 2021.3_1 linux_x86_64 Aug 15 2021
# //
# //  Copyright 1991-2021 Mentor Graphics Corporation
# //  All Rights Reserved.
# //
# //  QuestaSim and its associated documentation contain trade
# //  secrets and commercial or financial information that are the property of
# //  Mentor Graphics Corporation and are privileged, confidential,
# //  and exempt from disclosure under the Freedom of Information Act,
# //  5 U.S.C. Section 552. Furthermore, this information
# //  is prohibited from disclosure under the Trade Secrets Act,
# //  18 U.S.C. Section 1905.
# //
do run.do
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:35 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_7SEG_DECODER.sv 
# -- Compiling module M_7SEG_DECODER
# 
# Top level modules:
# 	M_7SEG_DECODER
# End time: 22:44:35 on Dec 06,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:35 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_ADDER.sv 
# -- Compiling module M_ADDER
# 
# Top level modules:
# 	M_ADDER
# End time: 22:44:36 on Dec 06,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:36 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_ARRAY_MULT.sv 
# -- Compiling module M_ADDER
# -- Compiling module M_ARRAY_MULT
# 
# Top level modules:
# 	M_ARRAY_MULT
# End time: 22:44:36 on Dec 06,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:37 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_DISPLAY_RESULTS_S1.sv 
# -- Compiling module M_DISPLAY_RESULTS_S1
# 
# Top level modules:
# 	M_DISPLAY_RESULTS_S1
# End time: 22:44:37 on Dec 06,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:37 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_MIPS_CPU.sv 
# -- Compiling module M_MEM_ASYNC
# -- Compiling module M_MEM_SYNC
# -- Compiling module M_CONTROLLER
# -- Compiling module M_ALU_CONTROLLER
# -- Compiling module M_IF_ID_REG
# -- Compiling module M_ID_EX_REG
# -- Compiling module M_EX_MEM_REG
# -- Compiling module M_MEM_WB_REG
# -- Compiling module M_PC_REG
# -- Compiling module M_PC_ADDER
# -- Compiling module M_SLL2
# -- Compiling module M_MUX_2_DONTCARE
# -- Compiling module M_REG_FILE
# -- Compiling module M_MUX_2
# -- Compiling module M_SEXT_16
# -- Compiling module M_MUX_3_DONTCARE
# -- Compiling module M_ALU
# -- Compiling module M_HAZARD_UNIT
# -- Compiling module M_EQUAL
# -- Compiling module M_MIPS_CPU
# 
# Top level modules:
# 	M_MIPS_CPU
# End time: 22:44:38 on Dec 06,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:39 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_MEM_ASYNC.sv 
# -- Compiling module M_MEM_ASYNC
# 
# Top level modules:
# 	M_MEM_ASYNC
# End time: 22:44:39 on Dec 06,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:39 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_MULT.sv 
# -- Compiling module M_MULT
# 
# Top level modules:
# 	M_MULT
# End time: 22:44:39 on Dec 06,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:40 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_MEM_SYNC.sv 
# -- Compiling module M_MEM_SYNC
# 
# Top level modules:
# 	M_MEM_SYNC
# End time: 22:44:40 on Dec 06,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:40 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_CONTROLLER.sv 
# -- Compiling module M_CONTROLLER
# 
# Top level modules:
# 	M_CONTROLLER
# End time: 22:44:41 on Dec 06,2024, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:41 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_ALU_CONTROLLER.sv 
# -- Compiling module M_ALU_CONTROLLER
# 
# Top level modules:
# 	M_ALU_CONTROLLER
# End time: 22:44:41 on Dec 06,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:44:42 on Dec 06,2024
# vlog -reportprogress 300 -sv ../RTL/M_IF_ID_REG.sv 
# -- Compiling module M_IF_ID_REG
# 
# Top level modules:
# 	M_IF_ID_REG
# End time: 22:44:42 on Dec 06,2024, Elapsed time: 0:00:00
# Errors: 0, Warnings: 0
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
